===============================================================================
Id,MA,len,datetime,open,high,low,close,volume,openinterest,signal,StrategyClass,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
83,MA,83,2022-06-17 00:00:00,8000.0,8068.0,7860.0,7949.0,906390.0,,0.40837768777385575,StrategyClass,83,738323.0,Broker,83,342096.9999999999,342097.09999999986,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,MA,84,2022-06-20 00:00:00,7978.0,8016.0,7731.0,7751.0,866507.0,,0.5204453199430528,StrategyClass,84,738326.0,Broker,84,401496.9999999999,401497.09999999986,BuySell,84,,,Trades - Net Profit/Loss,84,,
85,MA,85,2022-06-21 00:00:00,7723.0,7783.0,7606.0,7650.0,796637.0,,0.5231346334965703,StrategyClass,85,738327.0,Broker,85,431796.9999999999,431797.09999999986,BuySell,85,,,Trades - Net Profit/Loss,85,,
86,MA,86,2022-06-22 00:00:00,7650.0,7707.0,7352.0,7381.0,918970.0,,0.5201709900043356,StrategyClass,86,738328.0,Broker,86,512496.9999999999,512497.09999999986,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,MA,87,2022-06-23 00:00:00,7380.0,7608.0,7343.0,7543.0,1123773.0,,0.5422696862094003,StrategyClass,87,738329.0,Broker,87,463896.9999999999,463897.09999999986,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,MA,88,2022-06-24 00:00:00,7530.0,7587.0,7240.0,7276.0,1025373.0,,0.5354196847315018,StrategyClass,88,738330.0,Broker,88,543996.9999999999,543997.0999999999,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,MA,89,2022-06-27 00:00:00,7319.0,7436.0,7153.0,7265.0,1114915.0,,0.5534958834147288,StrategyClass,89,738333.0,Broker,89,547296.9999999999,547297.0999999999,BuySell,89,,,Trades - Net Profit/Loss,89,,
90,MA,90,2022-06-28 00:00:00,7261.0,7433.0,7256.0,7423.0,922993.0,,0.5714318460889725,StrategyClass,90,738334.0,Broker,90,499896.9999999999,499897.09999999986,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,MA,91,2022-06-29 00:00:00,7401.0,7450.0,7179.0,7318.0,1132244.0,,0.5941247393415781,StrategyClass,91,738335.0,Broker,91,531396.9999999999,531397.0999999999,BuySell,91,,,Trades - Net Profit/Loss,91,,
92,MA,92,2022-06-30 00:00:00,7360.0,7412.0,7277.0,7345.0,1049174.0,,0.57164514197342,StrategyClass,92,738336.0,Broker,92,523296.9999999999,523297.09999999986,BuySell,92,,,Trades - Net Profit/Loss,92,,
93,MA,93,2022-07-01 00:00:00,7304.0,7342.0,7141.0,7170.0,1050533.0,,0.5663664824119095,StrategyClass,93,738337.0,Broker,93,575796.9999999999,575797.0999999999,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,MA,94,2022-07-04 00:00:00,7200.0,7217.0,6932.0,6996.0,1083388.0,,0.5853493526610741,StrategyClass,94,738340.0,Broker,94,627996.9999999999,627997.0999999999,BuySell,94,,,Trades - Net Profit/Loss,94,,
95,MA,95,2022-07-05 00:00:00,7013.0,7033.0,6803.0,6820.0,1024676.0,,0.5967079053665253,StrategyClass,95,738341.0,Broker,95,680796.9999999999,680797.0999999999,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,MA,96,2022-07-06 00:00:00,6800.0,6822.0,6570.0,6819.0,1329909.0,,0.6088790697843164,StrategyClass,96,738342.0,Broker,96,681096.9999999999,681097.0999999999,BuySell,96,,,Trades - Net Profit/Loss,96,,
97,MA,97,2022-07-07 00:00:00,6799.0,6900.0,6654.0,6698.0,1331409.0,,0.6030123380107368,StrategyClass,97,738343.0,Broker,97,717396.9999999999,717397.0999999999,BuySell,97,,,Trades - Net Profit/Loss,97,,
